District Names,State/UT,QualityWater,Literacy,AntenatalCare,InstitutionalBirths,Homebirths,BirthBySkilledProfessional,Obesity,Tobacco,Alcohol,PostnatalCare,Safety_Score,Rank
Jamui ,Bihar,90.48,48.68,37.91,73.39,3.95,72.73,12.67,2.8,0.54,66.69,0.7606181851575904,540
Saraikela-Kharsawan ,Jharkhand,85.69,68.27,54.39,81.84,7.8,89.05,6.44,11.22,11.26,77.2,0.7602227431942347,541
Kaushambi ,Uttar Pradesh,98.34,61.99,34.04,88.64,5.4,92.8,17.3,14.87,0.24,74.16,0.759744329037866,542
Farrukhabad ,Uttar Pradesh,99.65,65.09,41.5,69.29,7.05,74.66,15.67,6.42,0.29,72.49,0.7595850133785998,543
Bhojpur ,Bihar,99.7,64.1,33.48,86.9,2.32,87.53,20.82,2.44,0.5,56.12,0.7594935548092164,544
Buxar ,Bihar,99.81,68.14,27.44,89.45,2.75,90.59,16.58,1.79,0.14,66.92,0.7594490495442473,545
Kanshiram Nagar ,Uttar Pradesh,99.36,60.6,38.09,74.81,3.91,77.15,20.69,6.88,0.37,62.0,0.7591746747575977,546
Sitapur ,Uttar Pradesh,99.7,59.16,35.39,84.81,5.45,87.8,15.43,13.75,0.09,71.54,0.7589928850943657,547
Pratapgarh ,Uttar Pradesh,97.82,77.73,30.62,90.82,4.5,93.11,25.03,11.89,0.47,71.13,0.757640739163415,548
West District ,Sikkim,89.87,85.73,70.36,99.33,0.0,99.33,24.48,8.87,20.51,63.57,0.7576299915897159,549
Panna ,Madhya Pradesh,85.53,62.94,30.87,84.04,3.63,85.98,15.68,13.57,0.28,73.49,0.7575489245142054,550
Vikarabad ,Telangana,99.73,59.32,54.82,95.01,2.04,86.71,25.67,11.58,17.0,80.77,0.7572200563624436,551
Chandauli ,Uttar Pradesh,97.49,73.85,32.91,86.24,5.0,85.06,23.13,7.11,0.36,65.18,0.7556874741414633,552
